question,model_answer,context
Is a Peel an anatomical part of an apple?,Yes.,"['When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.', ""Wash apples, thin slice, cut the seeds out and discard them.\nThere's no need to peel apples.\nPlace apple slices in a pot and fill with enough water to cover.\nBring to a boil and cook apples until they are soft.\nUsually about 10 minutes.\nOnce soft, drain in strainer and place apples back in warm pot.\nTurn heat on low.\nMix in all ingredients except for pie crust, cinnamon topper and granulated sugar topper."", 'Peel and chop the apples.\nPut all ingredients in a heavy-bottomed pot EXCEPT the raisins/sultanas.\nBring to boil, stirring, then simmer, uncovered, until the mixture becomes thick and the fruit is soft.\nStir in the sultanas.\nBottle in sterilised jars, wipe tops carefully, and seal.']"
"What is the edibility of an apple's Peel - can it be eaten, should it be avoided or must it be avoided?",Apple peels can be eaten.,"['Peel and chop the apples.\nPut all ingredients in a heavy-bottomed pot EXCEPT the raisins/sultanas.\nBring to boil, stirring, then simmer, uncovered, until the mixture becomes thick and the fruit is soft.\nStir in the sultanas.\nBottle in sterilised jars, wipe tops carefully, and seal.', ""Wash apples, thin slice, cut the seeds out and discard them.\nThere's no need to peel apples.\nPlace apple slices in a pot and fill with enough water to cover.\nBring to a boil and cook apples until they are soft.\nUsually about 10 minutes.\nOnce soft, drain in strainer and place apples back in warm pot.\nTurn heat on low.\nMix in all ingredients except for pie crust, cinnamon topper and granulated sugar topper."", 'When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.']"
Is a Stem an anatomical part of an apple?,"No. 

The context refers to removing the core of the apple, implying the stem is also removed.","['Cut a hole in the top of the apple and use a melon baller to scoop out the core and more to make room for the drink.\nPlace the apple shell in the freezer for 15 minutes.\nMix the rest of the ingredients with the removed apple pulp in a blender.\nStrain into the apple shell and serve with a straw.', 'When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.', 'Peel and chop the apples.\nPut all ingredients in a heavy-bottomed pot EXCEPT the raisins/sultanas.\nBring to boil, stirring, then simmer, uncovered, until the mixture becomes thick and the fruit is soft.\nStir in the sultanas.\nBottle in sterilised jars, wipe tops carefully, and seal.']"
"When cutting an apple, what tool should be used?",Knife,"['When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.', 'Core, pare and chop apples into bite-size chunks.\nPlace in saucepan with water over medium heat.\nSprinkle with sugar, cinnamon and nutmeg.\nAdd butter and cook, covered, about 15 min.\n,until hot and tender, but not mushy.\nMakes 8-12 servings.', 'Preheat oven to 350F (180C).\nGrease 8x""x2 inch baking dish, or 2 1/2 quart baking dish.\nCut apples and potatoes in chunks.\nGrate in food processor fitted with grater blade.\nTransfer to large bowl and stir in lemon juice.\nChange to steel chopping blade (no need to wash bowl).\nCut carrots and lemon into chunks and chop finely.\nAdd to apple potato mixture.\nStir in raisins, 3 tablespoons of melted margarine, orange juice concentrate, salt, cinnamon, sugar and matzo meal and mix well.']"
"When peeling an apple, what tool should be used?",Peeler,"[""Wash apples, thin slice, cut the seeds out and discard them.\nThere's no need to peel apples.\nPlace apple slices in a pot and fill with enough water to cover.\nBring to a boil and cook apples until they are soft.\nUsually about 10 minutes.\nOnce soft, drain in strainer and place apples back in warm pot.\nTurn heat on low.\nMix in all ingredients except for pie crust, cinnamon topper and granulated sugar topper."", 'When the chops are cooked, remove from the broiler or grill and let them rest for 5 minutes before serving.\nMeanwhile, slice the cored apples into thick rounds, drizzle with olive oil, season lightly with salt and pepper and place on the broiler pan or grill until tender when pierced with a fork.\nThese, too, should be brushed with the maple glaze and turned frequently.\nServe chops with the apple slices, sprinkled with pecans and candied ginger.', 'Peel and chop the apples.\nPut all ingredients in a heavy-bottomed pot EXCEPT the raisins/sultanas.\nBring to boil, stirring, then simmer, uncovered, until the mixture becomes thick and the fruit is soft.\nStir in the sultanas.\nBottle in sterilised jars, wipe tops carefully, and seal.']"
Is a Core an anatomical part of an avocado?,"No. 

The context refers to removing the seed (pit) from the avocado, not a core.","['Half all six of the avocados and remove the seeds.\nTake a spoon and go around the edge of the avocado and scoop out all of the flesh.\nOn a cutting surface, slice each avocado half and cut into pieces.\nScrap into a mixing bowl.\nTake 1 lime roll it to loosen the juices inside.\nCut the lime in half and squeeze both halves over the avocado.\nYou may find it easier to use a fork for this step.\nNext, add 1/2 teaspoon of salt.\nBegin mashing the avocado together to desired texture.', 'I love it served inside an avocado with the chopped flesh mixed through, some small prawns and a squeeze of lime, gorgeous!', 'Slice all the way around the avocado.\nTwist both halves with your hands and it will end up as shown in the photo.\nCut into the half with the pit lengthwise again, and push out the pit.\nNote: I cut each crab stick in half lengthwise.\nAdjust depending on how thick you want the crab sticks to be.']"
"What is the edibility of an avocado's Core - can it be eaten, should it be avoided or must it be avoided?",The provided context focuses on preparing avocado flesh for recipes and doesn't mention the edibility of the core.,"['Add the orange juice or sugar.\nCover and refrigerate if not serving immediately.\nJust before serving, gently stir in the diced avocado.', 'Scoop out avocados into a medium-sized bowl.\nAdd remaining ingredients and stir until combined.\nKeep refrigerated and covered until ready to use to prevent browning.\nServe with chips or use on tacos, fajitas or nachos.', 'Half all six of the avocados and remove the seeds.\nTake a spoon and go around the edge of the avocado and scoop out all of the flesh.\nOn a cutting surface, slice each avocado half and cut into pieces.\nScrap into a mixing bowl.\nTake 1 lime roll it to loosen the juices inside.\nCut the lime in half and squeeze both halves over the avocado.\nYou may find it easier to use a fork for this step.\nNext, add 1/2 teaspoon of salt.\nBegin mashing the avocado together to desired texture.']"
Is a Shell an anatomical part of an avocado?,"No. 

The context refers to the avocado flesh and pit, not a shell.","['Slice all the way around the avocado.\nTwist both halves with your hands and it will end up as shown in the photo.\nCut into the half with the pit lengthwise again, and push out the pit.\nNote: I cut each crab stick in half lengthwise.\nAdjust depending on how thick you want the crab sticks to be.', 'I love it served inside an avocado with the chopped flesh mixed through, some small prawns and a squeeze of lime, gorgeous!', 'To make this delectable dish, mash the avocado on a piece of toast.\nTop with your freshly poached egg, salt and pepper to taste.\nI like to smash the egg into the avocado.\nYum.']"
Is a Peel an anatomical part of an avocado?,Yes.,"['Half all six of the avocados and remove the seeds.\nTake a spoon and go around the edge of the avocado and scoop out all of the flesh.\nOn a cutting surface, slice each avocado half and cut into pieces.\nScrap into a mixing bowl.\nTake 1 lime roll it to loosen the juices inside.\nCut the lime in half and squeeze both halves over the avocado.\nYou may find it easier to use a fork for this step.\nNext, add 1/2 teaspoon of salt.\nBegin mashing the avocado together to desired texture.', 'Peel and pit avocado.\nCorsely chop and place in blender jar.\nAdd remaining ingredients and blend until smooth.\nHELPFUL HINTS: Use as a dip for vegetables or crackers.\nOr try as a topping for various foods, such as rice casserole, stuffed vegetables, or chapati roll-ups.', 'Transfer the grilled tails to a platter or plates and spoon about 1/4 cup sauce over each tail.\nFor the Aji Verde:\nHalve and pit the avocado, peel, and cut into 1/2 -inch dice.\nPlace the avocado in a mixing bowl.\nAdd the chopped eggs, scallions, tomato, lemon juice, jalapeno, cilantro, garlic, and olive oil and mix with a fork to create a creamy, chunky paste.\nSeason with the salt and a little pepper.\nCover and refrigerate until ready to use.']"
"What is the edibility of an avocado's Peel - can it be eaten, should it be avoided or must it be avoided?",Avocados peels should be avoided.,"['Peel and pit avocado.\nCorsely chop and place in blender jar.\nAdd remaining ingredients and blend until smooth.\nHELPFUL HINTS: Use as a dip for vegetables or crackers.\nOr try as a topping for various foods, such as rice casserole, stuffed vegetables, or chapati roll-ups.', 'Cut avocados in half and carefully remove the seed.\nSprinkle the cut surface with lemon juice to avoid discoloration.\nRemove skin and pith from the oranges and grapefruit and carefully segment.\nMix the two fruits together with oil, vinegar and seasonings.\nPile into avocados and chill for 1 hours.\nServe on a bed of lettuce.', 'Add the orange juice or sugar.\nCover and refrigerate if not serving immediately.\nJust before serving, gently stir in the diced avocado.']"
Is a Stem an anatomical part of an avocado?,"No. 

The context describes removing the seed (pit) from the avocado, but not a stem.","['Half all six of the avocados and remove the seeds.\nTake a spoon and go around the edge of the avocado and scoop out all of the flesh.\nOn a cutting surface, slice each avocado half and cut into pieces.\nScrap into a mixing bowl.\nTake 1 lime roll it to loosen the juices inside.\nCut the lime in half and squeeze both halves over the avocado.\nYou may find it easier to use a fork for this step.\nNext, add 1/2 teaspoon of salt.\nBegin mashing the avocado together to desired texture.', 'Slice all the way around the avocado.\nTwist both halves with your hands and it will end up as shown in the photo.\nCut into the half with the pit lengthwise again, and push out the pit.\nNote: I cut each crab stick in half lengthwise.\nAdjust depending on how thick you want the crab sticks to be.', 'I love it served inside an avocado with the chopped flesh mixed through, some small prawns and a squeeze of lime, gorgeous!']"
"When cutting an avocado, what tool should be used?",A knife.,"['Half all six of the avocados and remove the seeds.\nTake a spoon and go around the edge of the avocado and scoop out all of the flesh.\nOn a cutting surface, slice each avocado half and cut into pieces.\nScrap into a mixing bowl.\nTake 1 lime roll it to loosen the juices inside.\nCut the lime in half and squeeze both halves over the avocado.\nYou may find it easier to use a fork for this step.\nNext, add 1/2 teaspoon of salt.\nBegin mashing the avocado together to desired texture.', 'Slice all the way around the avocado.\nTwist both halves with your hands and it will end up as shown in the photo.\nCut into the half with the pit lengthwise again, and push out the pit.\nNote: I cut each crab stick in half lengthwise.\nAdjust depending on how thick you want the crab sticks to be.', 'Cut avocados in half and carefully remove the seed.\nSprinkle the cut surface with lemon juice to avoid discoloration.\nRemove skin and pith from the oranges and grapefruit and carefully segment.\nMix the two fruits together with oil, vinegar and seasonings.\nPile into avocados and chill for 1 hours.\nServe on a bed of lettuce.']"
"When peeling an avocado, what tool should be used?",Spoon,"['Peel and pit avocado.\nCorsely chop and place in blender jar.\nAdd remaining ingredients and blend until smooth.\nHELPFUL HINTS: Use as a dip for vegetables or crackers.\nOr try as a topping for various foods, such as rice casserole, stuffed vegetables, or chapati roll-ups.', 'Half all six of the avocados and remove the seeds.\nTake a spoon and go around the edge of the avocado and scoop out all of the flesh.\nOn a cutting surface, slice each avocado half and cut into pieces.\nScrap into a mixing bowl.\nTake 1 lime roll it to loosen the juices inside.\nCut the lime in half and squeeze both halves over the avocado.\nYou may find it easier to use a fork for this step.\nNext, add 1/2 teaspoon of salt.\nBegin mashing the avocado together to desired texture.', 'Cut avocados in half and carefully remove the seed.\nSprinkle the cut surface with lemon juice to avoid discoloration.\nRemove skin and pith from the oranges and grapefruit and carefully segment.\nMix the two fruits together with oil, vinegar and seasonings.\nPile into avocados and chill for 1 hours.\nServe on a bed of lettuce.']"
Is a Core an anatomical part of a banana?,No.,"['Cut each banana in half lengthwise and halve each piece crosswise.\nWork with 1 wrapper at a time; cover the rest with a damp paper towel.\nLay 1 wrapper on a work surface and lightly brush the edge with beaten egg white.\nPlace a banana quarter 2 inches from the bottom of the wrapper and top it with 4 chocolate chips and 1 teaspoon of coconut.\nFold the bottom edge over the filling and roll up 1 complete turn.\nFold in the sides and continue rolling to form a tight cylinder.', 'Cut each banana into 6 chunks, and freeze until rock solid, preferably overnight.\nWith the acai inside the packet, crush the puree into smaller pieces.\nProcess the pieces in a food processor to a fine slush.\nAdd the frozen banana chunks, coconut oil and maple syrup, and begin to process (the food processor may jolt in the very beginning).\nAs the bananas break down and combine with the acai, the mixture will look crumbly, then gooey and eventually smooth and slightly slushy, like a sorbet.', 'Peel bananas and remove from peels.\nSlice in 1/4"" bite sized slices.\nPlace banana slices in a cereal sized bowl.\nPour milk on top and sprinkle bananas with sugar.\nEnjoy!']"
Is a Shell an anatomical part of a banana?,"No. 

The context refers to a pie shell, which is a pastry crust, not a part of a banana.","['Cut each banana in half lengthwise and halve each piece crosswise.\nWork with 1 wrapper at a time; cover the rest with a damp paper towel.\nLay 1 wrapper on a work surface and lightly brush the edge with beaten egg white.\nPlace a banana quarter 2 inches from the bottom of the wrapper and top it with 4 chocolate chips and 1 teaspoon of coconut.\nFold the bottom edge over the filling and roll up 1 complete turn.\nFold in the sides and continue rolling to form a tight cylinder.', 'Slice the bananas and arrange in the bottom of baked pie shell.\nIn a large bowl, beat the cream cheese and sugar until smooth.\nFold in the whipped topping.\nSpread over the bananas and top with blueberry pie filling.\nChill for at least 1 hour before serving.', 'In a medium sized bowl, combine dry ingredients and mix well with a wire whisk (Make Ahead: Mix these ingredients ahead of time in plastic baggies and store in pantry, fridge or freezer).\nIn a small bowl, mash the ripe banana with a fork for at least 1 minute so there are no clumps and it becomes shiny and almost soupy (if you want to taste it, mash it less).\nAdd the banana, eggs, vanilla extract and milk/oats mixture to the dry mix.']"
Is a Peel an anatomical part of a banana?,Yes.,"['Peel bananas and remove from peels.\nSlice in 1/4"" bite sized slices.\nPlace banana slices in a cereal sized bowl.\nPour milk on top and sprinkle bananas with sugar.\nEnjoy!', 'Cut each banana in half lengthwise and halve each piece crosswise.\nWork with 1 wrapper at a time; cover the rest with a damp paper towel.\nLay 1 wrapper on a work surface and lightly brush the edge with beaten egg white.\nPlace a banana quarter 2 inches from the bottom of the wrapper and top it with 4 chocolate chips and 1 teaspoon of coconut.\nFold the bottom edge over the filling and roll up 1 complete turn.\nFold in the sides and continue rolling to form a tight cylinder.', 'Cut each banana into 6 chunks, and freeze until rock solid, preferably overnight.\nWith the acai inside the packet, crush the puree into smaller pieces.\nProcess the pieces in a food processor to a fine slush.\nAdd the frozen banana chunks, coconut oil and maple syrup, and begin to process (the food processor may jolt in the very beginning).\nAs the bananas break down and combine with the acai, the mixture will look crumbly, then gooey and eventually smooth and slightly slushy, like a sorbet.']"
"What is the edibility of a banana's Peel - can it be eaten, should it be avoided or must it be avoided?",Banana peels should be avoided.,"['Peel bananas and remove from peels.\nSlice in 1/4"" bite sized slices.\nPlace banana slices in a cereal sized bowl.\nPour milk on top and sprinkle bananas with sugar.\nEnjoy!', 'Preheat oven to 400 degrees F.\nPeel bananas, slice them lenthwise (thin).\nPlace bananas in small dish in one single layer.\nmelt butter.\nmix butter in separate bowl with syrup,rum and lemon juice.\nPour over bananas.\nbake about 10 minutes or until the bananas are soft and the topping is bubbly Serve bananas hot from oven, on individual plates over a scoop of ice cream.', 'Cut each banana into 6 chunks, and freeze until rock solid, preferably overnight.\nWith the acai inside the packet, crush the puree into smaller pieces.\nProcess the pieces in a food processor to a fine slush.\nAdd the frozen banana chunks, coconut oil and maple syrup, and begin to process (the food processor may jolt in the very beginning).\nAs the bananas break down and combine with the acai, the mixture will look crumbly, then gooey and eventually smooth and slightly slushy, like a sorbet.']"
Is a Stem an anatomical part of a banana?,No.,"['Cut each banana in half lengthwise and halve each piece crosswise.\nWork with 1 wrapper at a time; cover the rest with a damp paper towel.\nLay 1 wrapper on a work surface and lightly brush the edge with beaten egg white.\nPlace a banana quarter 2 inches from the bottom of the wrapper and top it with 4 chocolate chips and 1 teaspoon of coconut.\nFold the bottom edge over the filling and roll up 1 complete turn.\nFold in the sides and continue rolling to form a tight cylinder.', 'Peel bananas and remove from peels.\nSlice in 1/4"" bite sized slices.\nPlace banana slices in a cereal sized bowl.\nPour milk on top and sprinkle bananas with sugar.\nEnjoy!', 'Cut each banana into 6 chunks, and freeze until rock solid, preferably overnight.\nWith the acai inside the packet, crush the puree into smaller pieces.\nProcess the pieces in a food processor to a fine slush.\nAdd the frozen banana chunks, coconut oil and maple syrup, and begin to process (the food processor may jolt in the very beginning).\nAs the bananas break down and combine with the acai, the mixture will look crumbly, then gooey and eventually smooth and slightly slushy, like a sorbet.']"
"When cutting a banana, what tool should be used?",A knife.,"['Preheat the oven to 400.\nIn each of two 10-inch ovenproof skillets, stir 3/4 cup of the sugar with 2 tablespoons of the water.\nCook over moderately high heat, stirring occasionally, until a light amber caramel forms.\nRemove the skillets from the heat, add 2 tablespoons of butter to each and stir until combined.\nSlice the bananas 1/2 inch thick.\nCarefully arrange the bananas in the skillets in overlapping concentric circles, working from the edges to the center.', 'Peel bananas and remove from peels.\nSlice in 1/4"" bite sized slices.\nPlace banana slices in a cereal sized bowl.\nPour milk on top and sprinkle bananas with sugar.\nEnjoy!', 'Cut each banana in half lengthwise and halve each piece crosswise.\nWork with 1 wrapper at a time; cover the rest with a damp paper towel.\nLay 1 wrapper on a work surface and lightly brush the edge with beaten egg white.\nPlace a banana quarter 2 inches from the bottom of the wrapper and top it with 4 chocolate chips and 1 teaspoon of coconut.\nFold the bottom edge over the filling and roll up 1 complete turn.\nFold in the sides and continue rolling to form a tight cylinder.']"
