Question,Answer,Category
"When slicing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice,task_results
"When snipping a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When snipping a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1,repetitions
"When snipping a specific fruit or vegetable, what is form of the input to perform the action on?",Whole or FoodPart,task_inputs
"When snipping a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice,task_results
"When slivering a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When slivering a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1,repetitions
"When slivering a specific fruit or vegetable, what is form of the input to perform the action on?",Whole or FoodPart,task_inputs
"When slivering a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice,task_results
"When sawing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When sawing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1,repetitions
"When sawing a specific fruit or vegetable, what is form of the input to perform the action on?",Whole or FoodPart,task_inputs
"When sawing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice,task_results
"When paring a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When paring a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1,repetitions
"When paring a specific fruit or vegetable, what is form of the input to perform the action on?",Whole or FoodPart,task_inputs
"When paring a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice,task_results
"When carving a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When carving a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1,repetitions
"When carving a specific fruit or vegetable, what is form of the input to perform the action on?",Whole or FoodPart,task_inputs
"When carving a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 FoodPart and 1 Slice,task_results
"When mincing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When mincing a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning,prior_task
"When mincing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1,repetitions
"When mincing a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe,task_inputs
"When mincing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Cube and 1 Stripe,task_results
"When cubing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When cubing a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning,prior_task
"When cubing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1,repetitions
"When cubing a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe,task_inputs
"When cubing a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Cube and 1 Stripe,task_results
"When chopping a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",End,cutting_position
"When chopping a specific fruit or vegetable, what other cutting task - if any - should be executed before?",Julienning,prior_task
"When chopping a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",at least 1,repetitions
"When chopping a specific fruit or vegetable, what is form of the input to perform the action on?",Stripe,task_inputs
"When chopping a specific fruit or vegetable, what is form and amount of the resulting pieces?",1 Cube and 1 Stripe,task_results
"When dividing a specific fruit or vegetable, where should the knife be placed - in the middle or at the end of the object?",Middle,cutting_position
"When dividing a specific fruit or vegetable, how many cuts need to be made - exactly one or more than one?",exactly 1,repetitions
"When dividing a specific fruit or vegetable, what is form of the input to perform the action on?",Whole,task_inputs
"When dividing a specific fruit or vegetable, what is form and amount of the resulting pieces?",2 Halve,task_results
